资料标题,标准名称,扩展名,资料类型,主题层级,原文件路径,预览图路径,文本文件路径,页数,首个有文字页,有文字页数,文本字符数,文件大小MB,图片宽度,图片高度,关键词,参考费用,推荐天数,舒适程度,栏目清单,栏目命中数,摘要,内容哈希,重复组,重复组大小,是否最佳版本
三亚旅游攻略,三亚,.pdf,旅游攻略PDF,城市/景区,D:\wzb\全部131个景点\三亚旅游攻略.pdf,D:\wzb\codex\data\131景点资料整合_2026-03-25\previews\asset_003.png,D:\wzb\codex\data\131景点资料整合_2026-03-25\texts\asset_003.txt,29,2,28,32855,11.2,0,0,椰风 / 海滩 / 阳光 / 海鲜 / 亚热带雨林,5000元/人,4天,享乐,概述 / 亮点 / 有问必答 / 线路推荐 / 景点 / 活动 / 住宿 / 餐饮 / 购物 / 交通 / 实用信息 / 背景 / 地图 / 目录 / 印象 / 关于 / 心愿单 / FAQ / SCHEDULE / CATALOG / ABOUT / IMPRESSION,22,三亚市位于海南岛最南端，是中国最南部的滨海旅游城市。因三亚河 （古名临川水）由三亚东西河至此会合，成“丫”字形，故取名“三 亚”。同时它也是是一个黎、苗、回、汉多民族聚居的地区。 三亚拥有被无数城市嫉妒的清新空气，柔和海滩。在沙滩悠闲散步、 沐浴傍晚温和阳光，在海边玩耍，在雨林里面呼吸健康，欣赏自然奇观， 一切都是那么令人享受。三亚连续四次成为举办世界小姐总决赛的所在 地，同时世界大力士锦标赛，世界比基尼小姐大赛等等国际大赛都因为三 亚迷人的热带海滨风光而选择了它。毫无疑问，三亚是中国不可多得的能 成为世界顶级度假圣地的城市。 习惯了都市快节奏生活的人们,4f61091f59509ffa8142f91d85c410b0fad0b26a524a25a8dd0763fbdb704268,旅游攻略PDF:三亚,1,是
三清山,三清山,.pdf,目的地图册PDF,城市/景区,D:\wzb\全部131个景点\三清山.pdf,D:\wzb\codex\data\131景点资料整合_2026-03-25\previews\asset_004.png,D:\wzb\codex\data\131景点资料整合_2026-03-25\texts\asset_004.txt,11,2,10,12240,11.6,0,0,,1000元,1-2天,舒适,概述 / 亮点 / 有问必答 / 线路推荐 / 景点 / 活动 / 住宿 / 餐饮 / 购物 / 交通 / 实用信息 / 背景 / 地图 / 目录 / 印象 / 关于 / 心愿单 / FAQ / SCHEDULE / CATALOG / ABOUT / IMPRESSION,22,三清山是国家重点风景名胜区，位亍江西省上饶市东北部。主要由10 多风景区组成，其中以三清宫景区、玉京峰景区、西海岸景区和南清园景 区4个景区最为著名。景区内有3多最高峰，名为玉京、玉虚、玉半，恰如 三清（即道教玉清、上清、夜清三神）列坐其巅，故名为三清山。从名字 上可以看出，返是一座道教名山，1600余年癿道教历叱孕育了丰富癿道教 文化，有着“高凌于汉江南第一仙峰，清绝尘嚣夛下无双福地”癿美称。 三清山全部山体由花岗岩极成，历经14亿年癿地质演化形成了奇峰耸 夛、幽谷千仞癿山岳绝景奇观，山上石峰千姿百态，景观类似黄山，又因 毗邻黄山，所以有“小黄山”乊称,27ec9c8658debd541ddf8028978b61c3e8d48303136ac83b3ddb420591f40fb7,目的地图册PDF:三清山,1,是
上海旅游攻略,上海,.pdf,旅游攻略PDF,区域/省份,D:\wzb\全部131个景点\上海旅游攻略.pdf,D:\wzb\codex\data\131景点资料整合_2026-03-25\previews\asset_005.png,D:\wzb\codex\data\131景点资料整合_2026-03-25\texts\asset_005.txt,23,2,22,30979,27.56,0,0,,1000-1500元,3天,舒适,概述 / 亮点 / 有问必答 / 景点 / 活动 / 住宿 / 餐饮 / 购物 / 交通 / 实用信息 / 背景 / 地图 / 目录 / 印象 / 关于 / FAQ / SCHEDULE / CATALOG / ABOUT / IMPRESSION,20,上海，又称“上海滩”，是一座极具现代化而又不失中国传统特色的 国际大都市。由于其地处中国漫长海岸线的最正中，是中国四个中央直辖 市之一，是中国的历史文化名城。百余年来，上海一直是中国商业的中 心、财富的汇聚地，是中国仅次于香港的著名“购物乐园”，更是和世界 联系最紧密的那根纽带。 上海也是一个新兴的旅游目的地，由于它深厚的文化底蕴和众多的历 史古迹，如上海的地标——浦西的外滩和新天地。位于浦东的东方明珠广 播电视塔与金茂大厦却呈现出另一番繁华景象，它们与上海环球金融中心 等建筑共同组成了全球最壮丽的天际线之一，而2014年将建成的上海中 心，更会为“东方,4d6285403801887b4ae226ec1ff1140bf4664fb78f1930eff5e30342fe93e2ea,旅游攻略PDF:上海,1,是
中国国家地理可打印,中国国家地理,.pdf,全国地理资料,全国,D:\wzb\全部131个景点\中国国家地理可打印.pdf,D:\wzb\codex\data\131景点资料整合_2026-03-25\previews\asset_007.png,D:\wzb\codex\data\131景点资料整合_2026-03-25\texts\asset_007.txt,172,2,171,262701,112.87,0,0,,,,,亮点 / 景点 / 活动 / 住宿 / 交通 / 背景 / 地图 / 目录 / 印象 / 关于,10,北 京 出 版 社 上 中 国 国 家 地 理 CHINESE NATIONAL GEOGRAPHY 北京出版社 本书禀承现代地理学将地理知识和人文历史有机融合的理念，依 照知识严谨性、内容系统性的编写原则，全面介绍中国丰富多彩的地 质地貌。近千幅高品质的图片跟随科学、生动的文字，带领读者纵览 中国的万里江山，同时了解相关的地理、历史和民俗知识。 观赏 中国八大地质公园的地貌景观 ● 雅鲁藏布大峡谷的壮美 ● 哈纳斯 湖的变色奇观与图瓦人的民俗风情 ● 列入联合国世界自然遗产名 录的三江并流奇观 ● 大自然的野兽派雕塑“魔鬼城” 探索 峨眉山七彩佛光的光,8c32b79117cc78c91b439a73c4f7f246a524c0272c444bb476d36265b85b5d69,全国地理资料:中国国家地理,1,是
丽江攻略,丽江,.pdf,旅游攻略PDF,城市/景区,D:\wzb\全部131个景点\丽江攻略.pdf,D:\wzb\codex\data\131景点资料整合_2026-03-25\previews\asset_008.png,D:\wzb\codex\data\131景点资料整合_2026-03-25\texts\asset_008.txt,16,2,15,24212,7.88,0,0,,2000-3000元,3-5天,舒适,概述 / 亮点 / 有问必答 / 线路推荐 / 景点 / 活动 / 住宿 / 餐饮 / 购物 / 交通 / 实用信息 / 背景 / 地图 / 小贴士 / 目录 / 印象 / 关于 / 心愿单 / FAQ / SCHEDULE / CATALOG / ABOUT / IMPRESSION,23,如果说一千个读者心中有一千个哈姆雷特，那么一万个游客心中有一 万个丽江也不为过。丽江是喧嚣的，你可以彻夜狂欢；丽江是宁静的，你 可以坐在洒满阳光的院落发呆良久。 这座充斥了爱与奇遇的风情古城，承载着满满的情意与感性。也许是 丽江古城内小桥流水人家的柔软风情让人在静谧中左思右想，抑或是夜晚 风格各异的酒吧让人魅惑张扬。不过，无论是蓝天白云，雪山潺流，炊烟 人家，还是风情酒吧，闲适的一切生物，这一切怎能不让人为她张望，为 她痴狂。 我们来丽江，遇见自己，遗忘过往，漫步古城感受闲适光阴里的一花 一木，让午后的一米阳光一下子照进心中最柔软的地方。 01 丽江·攻,e38897c452151d9e427942cb04afd066b8a982d6da43f0cd13a95b7c0aa3a475,旅游攻略PDF:丽江,1,是
乌镇攻略,乌镇,.pdf,旅游攻略PDF,城市/景区,D:\wzb\全部131个景点\乌镇攻略.pdf,D:\wzb\codex\data\131景点资料整合_2026-03-25\previews\asset_009.png,D:\wzb\codex\data\131景点资料整合_2026-03-25\texts\asset_009.txt,19,2,18,26595,8.19,0,0,,500-800元,2天,舒适,概述 / 亮点 / 有问必答 / 线路推荐 / 景点 / 活动 / 住宿 / 餐饮 / 购物 / 交通 / 实用信息 / 背景 / 小贴士 / 目录 / 印象 / 关于 / 心愿单 / FAQ / SCHEDULE / CATALOG / ABOUT / IMPRESSION,22,西栅癿夘景很美，也是游亰乘乁篷船赏玩癿好旪候。伴着夘幕陈临， 喝着三白酒，看着对岸楼台上唰戏，戒是到水边放几盏带着祝祢癿莲花 灯，都是让亰心醉癿体验。 02 No.1,2556bb5cc219ceec93f812b7c47ff35f4c929f80ae9c172465663ff7a570efb2,旅游攻略PDF:乌镇,1,是
乌鲁木齐,乌鲁木齐,.pdf,目的地图册PDF,城市/景区,D:\wzb\全部131个景点\乌鲁木齐.pdf,D:\wzb\codex\data\131景点资料整合_2026-03-25\previews\asset_010.png,D:\wzb\codex\data\131景点资料整合_2026-03-25\texts\asset_010.txt,19,2,18,24294,22.45,0,0,,3000元,3天,舒适,概述 / 亮点 / 有问必答 / 景点 / 活动 / 住宿 / 餐饮 / 购物 / 交通 / 实用信息 / 背景 / 地图 / 目录 / 印象 / 关于 / FAQ / SCHEDULE / CATALOG / ABOUT / IMPRESSION,20,蒙古诧癿“乌鲁木齐”意为“伓美癿牧场”，古老癿“丝绸之路”绉 过千百年积淀，创造出灿烂癿西域文明，伒夗民族，丌同癿风俗，极成了 乌鲁木齐癿奇特风情。在返坑离海洋最迖癿圁地上，有亖洲癿地理中心， 织年晲莹蔚蓝癿神秘冰川，气魄雄伟癿山峰，碧绿光滑如明镜癿夛池，色 彩斑斓癿五彩湾…… 乌鲁木齐自古是一个夗元化癿城市，返里既有现代，又有民族，既有 乢画，又有歌舏。穿梭在返个丌多癿城市，凡似亍庆兵等活劢癿地斱， 到 处是手鼓呾吹奏癿声响，舏蹈如花一样地开放，兴象癿异域伕突显出来。 01 乌鲁木齐·攻略,57818a1d61b87c5a6f299fb19b41509ef653a546352f943a7ed2052654eaa563,目的地图册PDF:乌鲁木齐,1,是
九华山旅游攻略,九华山,.pdf,旅游攻略PDF,城市/景区,D:\wzb\全部131个景点\九华山旅游攻略.pdf,D:\wzb\codex\data\131景点资料整合_2026-03-25\previews\asset_011.png,D:\wzb\codex\data\131景点资料整合_2026-03-25\texts\asset_011.txt,13,2,12,16840,6.98,0,0,,500元,2天,舒适,概述 / 亮点 / 有问必答 / 景点 / 活动 / 住宿 / 餐饮 / 购物 / 交通 / 实用信息 / 背景 / 小贴士 / 目录 / 印象 / 关于 / FAQ / SCHEDULE / CATALOG / ABOUT / IMPRESSION,20,关于 · ABOUT 01 九华山·攻略 概述 01 亮点 02 有问必答 03 交通 03 景点 04 活动 07 住宿 07 餐饮 08 购物 08 推荐行程 09 小贴士 09 实用信息 10 背景 10 跟着它们去旅行 11 目录 · CATALOG ——地藏道场，佛香九华 到了地藏菩萨癿道场，视得径亲切，返里僧俗混居 癿氛围径祥和，黄色建筑是寺院，白色建筑是民 居。我真是太羡慕返里癿居民了，他们住得离寺庙 返举近，和菩萨佔祖为邻居，颂绊声，声声入耳。 ——《宝宝游黄山乓华山》 daae 绊过苦爬，终亍上到了天台寺！天台寺位亍山巅，于 雾乀上，天,10b9d9499f78d15c27b8f04d8f91bcda43d375eb2a6473ae5500beeb40cd8be6,旅游攻略PDF:九华山,1,是
九寨沟,九寨沟,.pdf,目的地图册PDF,城市/景区,D:\wzb\全部131个景点\九寨沟.pdf,D:\wzb\codex\data\131景点资料整合_2026-03-25\previews\asset_012.png,D:\wzb\codex\data\131景点资料整合_2026-03-25\texts\asset_012.txt,15,2,14,20966,22.01,0,0,,3000元,2天,舒适,概述 / 亮点 / 有问必答 / 线路推荐 / 景点 / 活动 / 住宿 / 餐饮 / 购物 / 交通 / 实用信息 / 背景 / 地图 / 小贴士 / 目录 / 印象 / 关于 / 心愿单 / FAQ / SCHEDULE / CATALOG / ABOUT / IMPRESSION,23,九寨沟因沟内有九个寨子而得名。传说主管草木万物之神比央朵明热 巴有九个聪明勇敢、美丽善良的女儿，有天她们来到九座雪峰上空，见蛇 魔在水中投毒，人畜倒毙，仙女们决定出手相助。打败了蛇魔后，她们留 下来与九个藏族男子结婚成家，以后形成九个部落，分居九个寨寮，因此 这里就被称为“九寨沟”。 “放眼层林彩池涟，鱼游云头鸟语欢，飞瀑洒落拂面来”，诗人肖草 的这几句诗，是对九寨沟景色真实的诠释。108个海子，构成一个个五彩 斑斓、绚丽奇绝的瑶池玉盆。当年造物主似乎把所有色彩都倾泻在了这 里。他所眷顾的这片土地，至今闪烁着梦幻般的神奇。 都说“九寨归来不看水”，来一次,c082314cfbce6ad0980730fb649dbef402d3a7db51bd5dd67d117d3c3db0671d,目的地图册PDF:九寨沟,1,是
云南,云南,.pdf,目的地图册PDF,区域/省份,D:\wzb\全部131个景点\云南.pdf,D:\wzb\codex\data\131景点资料整合_2026-03-25\previews\asset_013.png,D:\wzb\codex\data\131景点资料整合_2026-03-25\texts\asset_013.txt,28,2,27,46285,14.52,0,0,丽江 / 昆明 / 大理 / 女儿国 / 和顺古镇,5000-6000元,8天,享乐,概述 / 亮点 / 景点 / 活动 / 住宿 / 餐饮 / 购物 / 交通 / 背景 / 目录 / 印象 / 关于 / CATALOG / ABOUT / IMPRESSION,15,云南·攻略 概述 01 云南点睛 02 线路 03 丽江 04 昆明 07 大理 10 香格里拉 13 西双版纳 16 腾冲 19 泸沽湖 22 背景 25 跟着它们去旅行 26 封底 27 —— 不要忘记那场风花雪月的旅行,b52344c7d387de81ef108e3a7f49a3d2003a2ce04ad5dd61244150531e88e502,目的地图册PDF:云南,1,是
