所在城市,所在省份,景点样本数,游客样本量,平均评分,平均消费金额,平均访问时长(小时),高频景点,高频季节,高频交通方式,高频游客来源省
上海市,上海,20,4693,4.32,281.72,4.53,上海辰山植物园(265) / 东方明珠(253) / 上海影视乐园(251) / 上海自然博物馆(248) / 上海博物馆(245),春季(1192) / 夏季(1186) / 秋季(1182),高铁+大巴(477) / 空调大巴(476) / 飞机+大巴(436),河南省(178) / 天津市(172) / 广东省(160) / 西藏自治区(159) / 安徽省(156)
北京市,北京,20,4553,4.4,222.06,4.5,古北水镇(265) / 北海公园(253) / 798艺术区(244) / 中国科技馆(242) / 北京欢乐谷(236),秋季(1173) / 冬季(1134) / 夏季(1131),高铁+大巴(452) / 飞机+大巴(447) / 空调大巴(429),辽宁省(152) / 陕西省(150) / 河南省(149) / 内蒙古自治区(147) / 浙江省(147)
西安市,陕西,9,2085,4.34,238.79,4.49,终南山(260) / 秦始皇兵马俑(250) / 西安钟鼓楼(239) / 华清宫(230) / 西安城墙(230),秋季(553) / 夏季(549) / 春季(499),高铁+大巴(215) / 空调大巴(200) / 飞机+大巴(181),甘肃省(87) / 浙江省(77) / 江苏省(75) / 湖南省(73) / 海南省(72)
成都市,四川,8,1833,4.19,236.08,4.48,宽窄巷子(244) / 武侯祠(240) / 青城山(237) / 杜甫草堂(233) / 成都大熊猫繁育基地(227),冬季(466) / 夏季(464) / 春季(456),高铁+大巴(218) / 飞机+大巴(191) / 空调大巴(159),北京市(65) / 贵州省(63) / 山西省(63) / 广东省(63) / 天津市(62)
洛阳市,河南,7,1573,4.39,241.37,4.59,关林(260) / 老君山(242) / 白马寺(235) / 龙门石窟(224) / 重渡沟(213),春季(408) / 冬季(405) / 秋季(401),高铁+大巴(163) / 空调大巴(147) / 飞机+大巴(146),内蒙古自治区(61) / 广东省(59) / 江苏省(57) / 浙江省(55) / 天津市(55)
哈尔滨市,黑龙江,6,1397,4.29,285.61,4.53,哈尔滨冰雪大世界(262) / 圣索菲亚教堂(241) / 东北虎林园(232) / 亚布力滑雪场(231) / 中央大街(219),秋季(365) / 春季(359) / 冬季(352),高铁+大巴(157) / 空调大巴(130) / 飞机+大巴(125),西藏自治区(59) / 内蒙古自治区(58) / 山西省(53) / 河南省(52) / 广东省(48)
苏州市,江苏,6,1383,4.56,240.81,4.51,金鸡湖(240) / 同里古镇(240) / 苏州虎丘(239) / 苏州园林(224) / 沙家浜(221),冬季(374) / 春季(340) / 秋季(336),飞机+大巴(167) / 空调大巴(134) / 高铁+大巴(129),云南省(57) / 香港特别行政区(53) / 湖南省(53) / 吉林省(47) / 江西省(47)
三亚市,海南,6,1380,4.51,274.86,4.55,天涯海角(244) / 三亚亚龙湾(239) / 蜈支洲岛(233) / 呀诺达雨林(228) / 南山文化旅游区(225),夏季(358) / 冬季(355) / 秋季(341),高铁+大巴(159) / 飞机+大巴(143) / 空调大巴(121),广东省(60) / 四川省(53) / 台湾省(51) / 福建省(49) / 西藏自治区(49)
黄山市,安徽,5,1192,4.49,300.54,4.54,黄山(260) / 花山谜窟(254) / 齐云山(244) / 古徽州文化旅游区(218) / 西递宏村(216),秋季(306) / 冬季(298) / 夏季(296),飞机+大巴(126) / 高铁+大巴(118) / 空调大巴(106),广东省(45) / 北京市(45) / 天津市(44) / 山西省(42) / 安徽省(42)
广州市,广东,5,1186,4.47,284.81,4.58,广州长隆旅游度假区(259) / 沙面岛(244) / 陈家祠(238) / 白云山(235) / 广州塔(210),冬季(304) / 春季(302) / 夏季(294),高铁+大巴(135) / 空调大巴(124) / 飞机+大巴(113),河南省(50) / 上海市(48) / 浙江省(44) / 天津市(43) / 广东省(43)
桂林市,广西,5,1173,4.43,277.97,4.6,桂林象鼻山(248) / 桂林两江四湖(240) / 阳朔西街(239) / 桂林漓江(232) / 龙脊梯田(214),春季(303) / 秋季(302) / 冬季(288),空调大巴(115) / 高铁+大巴(112) / 飞机+大巴(107),澳门特别行政区(48) / 河北省(45) / 四川省(44) / 海南省(43) / 湖南省(43)
晋中市,山西,5,1155,4.38,261.15,4.44,乔家大院(245) / 平遥古城(241) / 常家庄园(238) / 王家大院(223) / 绵山(208),春季(302) / 秋季(291) / 冬季(282),高铁+大巴(120) / 空调大巴(113) / 飞机+大巴(111),四川省(44) / 广东省(42) / 重庆市(41) / 香港特别行政区(40) / 台湾省(40)
长春市,吉林,4,973,4.48,232.96,4.36,长春电影制片厂(257) / 长春世界雕塑园(255) / 净月潭(233) / 伪满皇宫博物院(228),夏季(270) / 春季(266) / 冬季(224),高铁+大巴(100) / 空调大巴(95) / 飞机+大巴(91),河南省(39) / 台湾省(38) / 香港特别行政区(38) / 湖南省(36) / 陕西省(35)
上饶市,江西,4,951,4.54,266.7,4.43,龟峰(247) / 婺源(246) / 三清山(238) / 上饶集中营(220),冬季(256) / 春季(250) / 夏季(226),高铁+大巴(106) / 飞机+大巴(91) / 空调大巴(87),山东省(37) / 海南省(37) / 四川省(36) / 湖南省(36) / 河南省(35)
长沙市,湖南,4,951,4.48,203.5,4.47,岳麓山(251) / 长沙世界之窗(247) / 湖南省博物馆(235) / 橘子洲(218),夏季(243) / 秋季(241) / 冬季(236),空调大巴(93) / 高铁+大巴(91) / 飞机+大巴(87),安徽省(41) / 青海省(38) / 宁夏回族自治区(37) / 江苏省(36) / 江西省(34)
杭州市,浙江,4,949,4.58,321.02,4.53,杭州宋城(254) / 千岛湖(243) / 杭州西湖(232) / 杭州西溪湿地(220),冬季(253) / 夏季(237) / 春季(232),飞机+大巴(105) / 空调大巴(104) / 高铁+大巴(101),湖南省(38) / 山东省(37) / 香港特别行政区(37) / 山西省(36) / 天津市(36)
忻州市,山西,4,942,4.38,292.3,4.48,五台山(250) / 芦芽山(247) / 雁门关(233) / 万年冰洞(212),夏季(251) / 春季(250) / 冬季(229),空调大巴(99) / 高铁+大巴(89) / 飞机+大巴(72),江苏省(38) / 广东省(38) / 上海市(36) / 福建省(36) / 海南省(34)
迪庆州,云南,4,940,4.51,270.34,4.59,香格里拉(250) / 普达措国家公园(243) / 梅里雪山(225) / 虎跳峡(222),冬季(246) / 秋季(239) / 春季(232),高铁+大巴(98) / 飞机+大巴(80) / 空调大巴(72),广东省(36) / 宁夏回族自治区(36) / 浙江省(35) / 福建省(34) / 陕西省(34)
济南市,山东,4,937,4.31,203.67,4.44,千佛山(251) / 大明湖(244) / 天下第一泉(233) / 趵突泉(209),秋季(272) / 夏季(226) / 冬季(225),高铁+大巴(101) / 飞机+大巴(98) / 空调大巴(98),内蒙古自治区(41) / 广西壮族自治区(37) / 陕西省(36) / 江西省(35) / 甘肃省(33)
昆明市,云南,4,922,4.46,259.67,4.54,石林(244) / 昆明世博园(235) / 滇池(228) / 云南民族村(215),冬季(238) / 秋季(230) / 春季(228),空调大巴(94) / 飞机+大巴(92) / 高铁+大巴(88),河南省(44) / 澳门特别行政区(36) / 上海市(36) / 广东省(34) / 黑龙江省(32)
延边州,吉林,4,922,4.36,264.13,4.4,长白山(248) / 六鼎山(230) / 延边朝鲜族民俗园(225) / 防川风景区(219),冬季(248) / 春季(236) / 夏季(227),高铁+大巴(96) / 飞机+大巴(92) / 空调大巴(80),贵州省(36) / 广东省(35) / 宁夏回族自治区(35) / 西藏自治区(34) / 江苏省(34)
吉林市,吉林,4,919,4.26,278.54,4.55,雾凇岛(252) / 松花湖(236) / 北大壶滑雪场(227) / 吉林北山(204),秋季(234) / 冬季(233) / 春季(232),飞机+大巴(103) / 高铁+大巴(94) / 空调大巴(81),安徽省(36) / 湖南省(35) / 四川省(35) / 上海市(35) / 宁夏回族自治区(35)
大连市,辽宁,4,912,4.37,292.57,4.48,大连森林动物园(239) / 金石滩(235) / 大连星海广场(234) / 大连老虎滩海洋公园(204),冬季(232) / 秋季(229) / 夏季(229),空调大巴(104) / 高铁+大巴(102) / 飞机+大巴(95),台湾省(39) / 山东省(37) / 贵州省(35) / 安徽省(34) / 江苏省(32)
保定市,河北,4,888,4.51,305.53,4.57,清西陵(237) / 白石山(231) / 白洋淀(227) / 野三坡(193),夏季(242) / 春季(222) / 冬季(214),高铁+大巴(95) / 空调大巴(86) / 飞机+大巴(81),湖南省(39) / 吉林省(37) / 甘肃省(36) / 香港特别行政区(34) / 江西省(33)
无锡市,江苏,3,778,4.49,324.36,4.58,无锡影视基地(274) / 灵山大佛(265) / 鼋头渚(239),秋季(205) / 冬季(204) / 夏季(189),高铁+大巴(98) / 空调大巴(73) / 飞机+大巴(70),贵州省(34) / 河南省(34) / 江苏省(32) / 湖南省(28) / 甘肃省(28)
嘉兴市,浙江,3,753,4.57,283.97,4.52,乌镇(265) / 西塘古镇(248) / 嘉兴南湖(240),冬季(202) / 秋季(191) / 夏季(185),高铁+大巴(86) / 空调大巴(60) / 飞机+大巴(60),新疆维吾尔自治区(31) / 福建省(31) / 辽宁省(29) / 湖北省(28) / 澳门特别行政区(28)
湘西州,湖南,3,725,4.38,277.23,4.49,凤凰古城(253) / 芙蓉镇(243) / 德夯大峡谷(229),夏季(191) / 冬季(184) / 春季(179),高铁+大巴(81) / 空调大巴(71) / 飞机+大巴(54),广东省(33) / 海南省(33) / 江苏省(30) / 陕西省(29) / 福建省(26)
武汉市,湖北,3,718,4.52,230.44,4.48,东湖(249) / 木兰文化生态旅游区(240) / 黄鹤楼(229),冬季(189) / 夏季(186) / 秋季(178),飞机+大巴(84) / 高铁+大巴(75) / 空调大巴(65),安徽省(32) / 北京市(28) / 台湾省(27) / 甘肃省(26) / 澳门特别行政区(25)
沈阳市,辽宁,3,716,4.37,212.74,4.55,九一八历史博物馆(252) / 沈阳故宫(244) / 沈阳世博园(220),夏季(195) / 秋季(183) / 春季(171),空调大巴(75) / 飞机+大巴(72) / 高铁+大巴(71),云南省(37) / 江苏省(32) / 江西省(28) / 湖北省(27) / 陕西省(27)
咸阳市,陕西,3,696,4.29,261.7,4.53,乾陵(250) / 汉阳陵(230) / 茂陵(216),秋季(198) / 冬季(171) / 春季(166),高铁+大巴(81) / 飞机+大巴(64) / 空调大巴(62),安徽省(26) / 广东省(25) / 四川省(24) / 河南省(24) / 浙江省(24)
青岛市,山东,3,694,4.51,231.84,4.4,崂山(235) / 青岛海滨风景区(235) / 青岛啤酒博物馆(224),秋季(187) / 夏季(179) / 冬季(176),飞机+大巴(77) / 高铁+大巴(64) / 空调大巴(53),浙江省(34) / 香港特别行政区(30) / 山西省(29) / 台湾省(28) / 河南省(27)
大同市,山西,3,694,4.31,260.05,4.48,悬空寺(237) / 云冈石窟(232) / 大同火山群(225),夏季(195) / 春季(172) / 冬季(169),高铁+大巴(88) / 空调大巴(81) / 飞机+大巴(65),陕西省(32) / 香港特别行政区(27) / 广西壮族自治区(27) / 江苏省(27) / 重庆市(26)
厦门市,福建,3,691,4.19,212.65,4.48,厦门园林植物园(240) / 厦门曾厝垵(233) / 鼓浪屿(218),冬季(184) / 春季(178) / 秋季(171),飞机+大巴(66) / 空调大巴(63) / 高铁+大巴(62),河南省(29) / 四川省(27) / 福建省(26) / 西藏自治区(25) / 江苏省(25)
宜昌市,湖北,3,680,4.73,292.43,4.56,三峡大坝(242) / 清江画廊(225) / 三峡人家(213),秋季(189) / 冬季(176) / 夏季(166),高铁+大巴(80) / 空调大巴(65) / 飞机+大巴(64),河南省(29) / 江西省(28) / 西藏自治区(28) / 内蒙古自治区(26) / 湖北省(25)
泉州市,福建,3,677,4.43,223.56,4.61,泉州开元寺(241) / 泉州清境桃源(222) / 清源山(214),夏季(184) / 秋季(176) / 春季(167),高铁+大巴(79) / 飞机+大巴(71) / 空调大巴(69),河南省(28) / 广东省(27) / 台湾省(24) / 北京市(23) / 浙江省(23)
宁德市,福建,3,675,4.7,280.47,4.46,白水洋(235) / 太姥山(222) / 宁德鸳鸯溪(218),秋季(181) / 春季(175) / 夏季(162),高铁+大巴(77) / 空调大巴(62) / 飞机+大巴(61),浙江省(31) / 上海市(29) / 河南省(27) / 西藏自治区(27) / 广东省(24)
石家庄市,河北,3,674,4.57,216.88,4.5,西柏坡(243) / 正定隆兴寺(224) / 赵州桥(207),夏季(182) / 秋季(171) / 冬季(161),高铁+大巴(79) / 空调大巴(70) / 飞机+大巴(54),海南省(27) / 江苏省(27) / 河北省(26) / 青海省(26) / 江西省(25)
深圳市,广东,3,670,4.7,387.92,4.54,深圳世界之窗(238) / 深圳东部华侨城(218) / 深圳华侨城(214),秋季(177) / 夏季(177) / 春季(163),高铁+大巴(79) / 飞机+大巴(62) / 空调大巴(61),北京市(30) / 广西壮族自治区(28) / 青海省(25) / 山东省(25) / 西藏自治区(24)
阿坝州,四川,3,670,4.49,346.51,4.5,黄龙(236) / 四姑娘山(226) / 九寨沟(208),夏季(179) / 春季(171) / 秋季(160),高铁+大巴(79) / 空调大巴(70) / 飞机+大巴(58),河南省(27) / 山西省(27) / 安徽省(26) / 甘肃省(25) / 西藏自治区(24)
福州市,福建,3,670,4.38,193.58,4.5,福州三山两塔(232) / 三坊七巷(223) / 福州鼓山(215),春季(191) / 秋季(176) / 夏季(153),高铁+大巴(86) / 空调大巴(62) / 飞机+大巴(61),贵州省(29) / 河南省(28) / 安徽省(27) / 北京市(25) / 天津市(25)
延安市,陕西,3,667,4.5,227.57,4.51,延安革命纪念馆(249) / 黄帝陵(214) / 壶口瀑布(204),夏季(177) / 秋季(165) / 春季(163),高铁+大巴(63) / 飞机+大巴(62) / 空调大巴(52),四川省(33) / 湖南省(27) / 安徽省(26) / 天津市(26) / 西藏自治区(26)
丽江市,云南,3,666,4.56,268.08,4.42,玉龙雪山(244) / 丽江古城(217) / 泸沽湖(云南部分)(205),夏季(177) / 秋季(176) / 春季(159),空调大巴(69) / 飞机+大巴(65) / 高铁+大巴(60),浙江省(29) / 湖北省(27) / 福建省(26) / 山西省(26) / 新疆维吾尔自治区(24)
开封市,河南,3,665,4.48,257.06,4.63,龙亭公园(235) / 开封府(219) / 清明上河园(211),夏季(188) / 冬季(171) / 春季(155),高铁+大巴(65) / 飞机+大巴(59) / 空调大巴(58),河南省(32) / 辽宁省(27) / 贵州省(26) / 内蒙古自治区(26) / 重庆市(26)
安阳市,河南,3,655,4.27,271.67,4.43,红旗渠(226) / 太行大峡谷(222) / 殷墟(207),夏季(169) / 冬季(166) / 秋季(166),高铁+大巴(70) / 空调大巴(66) / 飞机+大巴(61),台湾省(29) / 陕西省(25) / 广东省(25) / 安徽省(24) / 内蒙古自治区(24)
