素材标题,素材类型,扩展名,标准名称,原文件路径,预览图路径,首页摘要
01中国旅游地图,图片素材,.jpg,01,D:\wzb\全部131个景点\01中国旅游地图.jpg,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_001.jpg,
02中华人民共和国旅游景点地图,图片素材,.jpg,02中华人民共和国旅游,D:\wzb\全部131个景点\02中华人民共和国旅游景点地图.jpg,.,
三亚旅游攻略,PDF攻略,.pdf,三亚,D:\wzb\全部131个景点\三亚旅游攻略.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_003.png,
三清山,PDF攻略,.pdf,三清山,D:\wzb\全部131个景点\三清山.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_004.png,
上海旅游攻略,PDF攻略,.pdf,上海,D:\wzb\全部131个景点\上海旅游攻略.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_005.png,
中国,图片素材,.jpg,中国,D:\wzb\全部131个景点\中国.jpg,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_006.jpg,
中国国家地理可打印,PDF攻略,.pdf,,D:\wzb\全部131个景点\中国国家地理可打印.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_007.png,
丽江攻略,PDF攻略,.pdf,丽江,D:\wzb\全部131个景点\丽江攻略.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_008.png,
乌镇攻略,PDF攻略,.pdf,乌镇,D:\wzb\全部131个景点\乌镇攻略.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_009.png,
乌鲁木齐,PDF攻略,.pdf,乌鲁木齐,D:\wzb\全部131个景点\乌鲁木齐.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_010.png,
九华山旅游攻略,PDF攻略,.pdf,九华山,D:\wzb\全部131个景点\九华山旅游攻略.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_011.png,
