景点名称,所在城市,所在省份,景点类型,景点等级,游客样本量,平均评分,平均消费金额,平均门票价格,平均访问时长(小时),跟团占比(%),节假日访问占比(%),高频季节,高频交通方式,高频游客来源省,推荐程度分布,满意度分布,匹配素材标题,匹配素材路径,预览图路径
无锡影视基地,无锡市,江苏,主题公园,5A,274,4.62,315.24,150.0,4.57,32.48,47.45,冬季(71) / 秋季(71),空调大巴(34) / 高铁+大巴(29) / 飞机+大巴(26),贵州省(13) / 河南省(12) / 湖南省(12) / 湖北省(11) / 陕西省(11),强烈推荐(191) / 推荐(83),非常满意(191) / 满意(83),无锡旅游攻略,D:\wzb\全部131个景点\无锡旅游攻略.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_063.png
古北水镇,北京市,北京,古镇风情,4A,265,4.44,300.9,140.0,4.38,34.72,43.02,秋季(77) / 冬季(67),高铁+大巴(34) / 飞机+大巴(33) / 空调大巴(25),台湾省(14) / 广东省(14) / 天津市(14) / 陕西省(12) / 山西省(12),强烈推荐(137) / 推荐(128),非常满意(137) / 满意(128),北京,D:\wzb\全部131个景点\北京.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_018.png
乌镇,嘉兴市,浙江,古镇风情,5A,265,4.41,325.4,150.0,4.58,26.42,49.06,春季(72) / 秋季(71),高铁+大巴(30) / 飞机+大巴(22) / 空调大巴(18),澳门特别行政区(15) / 辽宁省(12) / 甘肃省(11) / 福建省(11) / 四川省(10),推荐(142) / 强烈推荐(123),满意(142) / 非常满意(123),乌镇攻略,D:\wzb\全部131个景点\乌镇攻略.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_009.png
灵山大佛,无锡市,江苏,宗教文化,5A,265,4.39,384.66,210.0,4.45,28.3,56.23,冬季(73) / 秋季(68),高铁+大巴(34) / 飞机+大巴(23) / 空调大巴(18),湖南省(13) / 河南省(13) / 江苏省(12) / 甘肃省(12) / 四川省(11),推荐(153) / 强烈推荐(112),满意(153) / 非常满意(112),无锡旅游攻略,D:\wzb\全部131个景点\无锡旅游攻略.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_063.png
上海辰山植物园,上海市,上海,植物园,4A,265,4.2,212.95,60.0,4.51,32.45,41.13,夏季(81) / 春季(70),空调大巴(30) / 飞机+大巴(29) / 高铁+大巴(27),广东省(14) / 山东省(12) / 天津市(11) / 西藏自治区(11) / 安徽省(10),推荐(200) / 强烈推荐(65),满意(200) / 非常满意(65),上海旅游攻略,D:\wzb\全部131个景点\上海旅游攻略.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_005.png
哈尔滨冰雪大世界,哈尔滨市,黑龙江,主题公园,4A,262,4.18,522.62,330.0,4.65,34.35,49.62,冬季(72) / 秋季(68),空调大巴(35) / 高铁+大巴(28) / 飞机+大巴(27),内蒙古自治区(13) / 浙江省(13) / 广东省(13) / 福建省(12) / 山东省(11),推荐(201) / 强烈推荐(61),满意(201) / 非常满意(61),哈尔滨旅游攻略,D:\wzb\全部131个景点\哈尔滨旅游攻略.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_035.png
黄山,黄山市,安徽,自然风光,5A,260,4.77,375.04,190.0,4.49,28.46,50.38,秋季(71) / 冬季(70),高铁+大巴(27) / 飞机+大巴(25) / 空调大巴(22),浙江省(13) / 山西省(13) / 甘肃省(12) / 内蒙古自治区(11) / 吉林省(11),强烈推荐(219) / 推荐(41),非常满意(219) / 满意(41),黄山,D:\wzb\全部131个景点\黄山.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_133.png
关林,洛阳市,河南,历史文化,4A,260,4.33,200.41,40.0,4.63,30.0,54.23,冬季(75) / 秋季(69),飞机+大巴(28) / 高铁+大巴(27) / 空调大巴(23),广东省(14) / 山东省(13) / 山西省(12) / 甘肃省(11) / 内蒙古自治区(11),推荐(165) / 强烈推荐(95),满意(165) / 非常满意(95),洛阳,D:\wzb\全部131个景点\洛阳.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_080.png
终南山,西安市,陕西,自然文化,4A,260,4.22,247.2,65.0,4.33,30.0,48.85,秋季(74) / 夏季(72),高铁+大巴(31) / 空调大巴(25) / 飞机+大巴(22),浙江省(16) / 甘肃省(15) / 湖南省(15) / 澳门特别行政区(11) / 内蒙古自治区(11),推荐(188) / 强烈推荐(72),满意(188) / 非常满意(72),西安,D:\wzb\全部131个景点\西安.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_108.png
广州长隆旅游度假区,广州市,广东,主题公园,5A,259,4.78,547.43,350.0,4.8,30.5,42.86,秋季(72) / 春季(66),飞机+大巴(31) / 空调大巴(26) / 高铁+大巴(22),西藏自治区(13) / 湖南省(13) / 上海市(12) / 澳门特别行政区(11) / 福建省(11),强烈推荐(224) / 推荐(35),非常满意(224) / 满意(35),广州旅游攻略,D:\wzb\全部131个景点\广州旅游攻略.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_051.png
瀛湖,安康市,陕西,自然风光,4A,259,4.4,235.17,70.0,4.37,23.94,41.31,秋季(71) / 夏季(71),高铁+大巴(22) / 飞机+大巴(20) / 空调大巴(20),浙江省(14) / 海南省(13) / 西藏自治区(13) / 河南省(13) / 四川省(13),推荐(142) / 强烈推荐(117),满意(142) / 非常满意(117),,,
莆田九鲤湖,莆田市,福建,自然风光,4A,258,4.48,226.26,50.0,4.42,25.58,46.12,夏季(74) / 冬季(69),空调大巴(23) / 高铁+大巴(23) / 飞机+大巴(20),台湾省(14) / 辽宁省(13) / 山东省(12) / 香港特别行政区(12) / 河南省(12),强烈推荐(143) / 推荐(115),非常满意(143) / 满意(115),,,
百色起义纪念馆,百色市,广西,红色旅游,4A,258,4.36,169.59,0.0,4.26,28.68,44.19,秋季(69) / 夏季(68),飞机+大巴(27) / 高铁+大巴(26) / 空调大巴(21),湖北省(14) / 海南省(13) / 陕西省(12) / 浙江省(11) / 河南省(11),推荐(155) / 强烈推荐(103),满意(155) / 非常满意(103),,,
舟山朱家尖,舟山市,浙江,自然风光,4A,257,4.75,284.59,120.0,4.52,31.91,43.19,夏季(69) / 春季(68),飞机+大巴(31) / 空调大巴(27) / 高铁+大巴(24),陕西省(13) / 湖南省(12) / 澳门特别行政区(12) / 福建省(11) / 河南省(11),强烈推荐(211) / 推荐(46),非常满意(211) / 满意(46),舟山攻略,D:\wzb\全部131个景点\舟山攻略.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_100.png
长春电影制片厂,长春市,吉林,工业旅游,4A,257,4.08,272.55,90.0,4.38,26.85,47.47,春季(77) / 夏季(61),飞机+大巴(26) / 空调大巴(24) / 高铁+大巴(19),湖南省(15) / 天津市(15) / 安徽省(13) / 新疆维吾尔自治区(13) / 吉林省(11),推荐(223) / 强烈推荐(34),满意(223) / 非常满意(34),,,
衢州江郎山,衢州市,浙江,自然风光,5A,255,4.76,287.36,100.0,4.39,27.06,52.55,夏季(68) / 秋季(66),高铁+大巴(29) / 空调大巴(24) / 飞机+大巴(16),湖北省(15) / 澳门特别行政区(14) / 江苏省(12) / 浙江省(11) / 重庆市(11),强烈推荐(220) / 推荐(35),非常满意(220) / 满意(35),,,
长春世界雕塑园,长春市,吉林,文化艺术,5A,255,4.53,213.31,30.0,4.43,34.9,47.45,夏季(78) / 冬季(66),高铁+大巴(36) / 空调大巴(27) / 飞机+大巴(26),台湾省(15) / 陕西省(14) / 甘肃省(12) / 澳门特别行政区(11) / 广东省(11),强烈推荐(154) / 推荐(101),非常满意(154) / 满意(101),,,
炎帝陵,株洲市,湖南,历史文化,5A,255,4.46,240.57,60.0,4.45,30.59,47.45,夏季(85) / 秋季(62),高铁+大巴(27) / 飞机+大巴(26) / 空调大巴(25),云南省(13) / 广西壮族自治区(12) / 福建省(12) / 西藏自治区(11) / 湖南省(11),推荐(129) / 强烈推荐(126),满意(129) / 非常满意(126),,,
辽源矿工墓,辽源市,吉林,红色旅游,4A,255,4.39,197.43,30.0,4.49,26.27,40.0,春季(74) / 夏季(69),空调大巴(25) / 高铁+大巴(21) / 飞机+大巴(21),北京市(13) / 山西省(12) / 河北省(12) / 福建省(11) / 广西壮族自治区(11),推荐(143) / 强烈推荐(112),满意(143) / 非常满意(112),,,
抚顺赫图阿拉城,抚顺市,辽宁,历史文化,4A,255,4.02,250.22,60.0,4.5,35.29,47.45,秋季(69) / 冬季(67),空调大巴(33) / 高铁+大巴(31) / 飞机+大巴(26),甘肃省(17) / 湖北省(13) / 重庆市(12) / 北京市(11) / 山东省(11),推荐(239) / 强烈推荐(16),满意(239) / 非常满意(16),,,
花果山,连云港市,江苏,自然文化,5A,254,4.67,264.26,90.0,4.32,27.17,49.61,冬季(71) / 秋季(71),飞机+大巴(26) / 空调大巴(22) / 高铁+大巴(21),河南省(15) / 江西省(14) / 天津市(12) / 台湾省(11) / 浙江省(11),强烈推荐(184) / 推荐(70),非常满意(184) / 满意(70),连云港旅游攻略.1,D:\wzb\全部131个景点\连云港旅游攻略.1.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_112.png
杭州宋城,杭州市,浙江,主题公园,4A,254,4.44,512.81,320.0,4.43,31.5,50.0,冬季(71) / 秋季(68),空调大巴(28) / 高铁+大巴(27) / 飞机+大巴(25),天津市(14) / 广东省(13) / 山西省(13) / 湖南省(10) / 安徽省(10),推荐(129) / 强烈推荐(125),满意(129) / 非常满意(125),杭州攻略,D:\wzb\全部131个景点\杭州攻略.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_070.png
花山谜窟,黄山市,安徽,自然奇观,4A,254,4.43,284.68,91.0,4.44,29.13,39.37,春季(80) / 秋季(68),飞机+大巴(33) / 高铁+大巴(26) / 空调大巴(15),北京市(13) / 天津市(13) / 香港特别行政区(11) / 青海省(11) / 广东省(11),推荐(129) / 强烈推荐(125),满意(129) / 非常满意(125),黄山,D:\wzb\全部131个景点\黄山.pdf,D:\wzb\codex\data\全国旅游数据整合_2026-03-24\previews\asset_133.png
金山岭长城,承德市,河北,历史文化,4A,254,4.12,249.04,65.0,4.55,25.2,42.13,春季(75) / 夏季(65),飞机+大巴(26) / 空调大巴(22) / 高铁+大巴(16),北京市(12) / 天津市(12) / 福建省(11) / 台湾省(10) / 海南省(9),推荐(206) / 强烈推荐(48),满意(206) / 非常满意(48),,,
