游客记录哈希,游客性别,游客年龄,游客年龄段,游客来源省,景点名称,景点类型,景点等级,所在城市,所在省份,门票价格,访问日期,访问年份,访问月份,访问季度,访问时长(小时),消费金额,门票消费,其他消费,评分,是否跟团,团费,行程天数,主要景点,交通方式,季节,是否节假日,推荐程度,满意度
b680c688f852,女,67,56+,北京市,悬空寺,宗教文化,4A,大同市,山西,125,2023-12-25,2023,12,4,6.3,361.52,125,236.52,4.3,否,,,,,冬季,否,推荐,满意
b44d6960b97b,男,22,18-25,黑龙江省,开封府,历史文化,4A,开封市,河南,65,2024-11-14,2024,11,4,5.1,65.0,65,0.0,4.8,否,,,,,秋季,否,强烈推荐,非常满意
8eac14712fa2,男,60,56+,福建省,周庄古镇,古镇风情,5A,苏州市,江苏,100,2022-07-20,2022,7,3,6.1,469.27,100,369.27,4.4,否,,,,,夏季,否,推荐,满意
9714f5e10a19,女,33,26-35,宁夏回族自治区,朱家角古镇,古镇风情,4A,上海市,上海,60,2024-09-19,2024,9,3,6.8,60.0,60,0.0,3.7,否,,,,,秋季,否,推荐,满意
a0d97ea0a27e,女,59,56+,江西省,庐山,自然文化,5A,九江市,江西,160,2024-12-31,2024,12,4,2.9,160.0,160,0.0,4.9,否,,,,,冬季,否,强烈推荐,非常满意
e1cd7750398f,男,22,18-25,香港特别行政区,上饶集中营,红色旅游,4A,上饶市,江西,0,2022-07-15,2022,7,3,6.1,432.89,0,432.89,4.6,否,,,,,夏季,否,强烈推荐,非常满意
3cc9d09bfe59,女,25,18-25,广西壮族自治区,鸭绿江断桥,红色旅游,4A,丹东市,辽宁,30,2022-05-04,2022,5,2,3.4,413.97,30,383.97,4.3,否,,,,,春季,否,推荐,满意
ec43d17da868,男,54,46-55,海南省,北大壶滑雪场,运动休闲,4A,吉林市,吉林,300,2022-07-01,2022,7,3,2.9,318.77,300,18.77,4.4,否,,,,,夏季,否,推荐,满意
57c987c93069,女,55,46-55,内蒙古自治区,中国雪乡,自然风光,4A,牡丹江市,黑龙江,120,2023-09-07,2023,9,3,3.6,265.11,120,145.11,4.2,否,,,,,秋季,否,推荐,满意
84c81ba9676d,女,31,26-35,北京市,抚顺赫图阿拉城,历史文化,4A,抚顺市,辽宁,60,2024-03-02,2024,3,1,2.5,223.71,60,163.71,3.8,否,,,,,春季,是,推荐,满意
3bea62ade8b7,男,23,18-25,海南省,德天瀑布,自然风光,5A,崇左市,广西,115,2024-11-14,2024,11,4,3.4,350.4,115,235.4,4.7,否,,,,,秋季,否,强烈推荐,非常满意
f6e359a31391,女,58,56+,西藏自治区,北京植物园,植物园,4A,北京市,北京,10,2023-06-26,2023,6,2,3.5,279.48,10,269.48,3.9,否,,,,,夏季,否,推荐,满意
964020637cca,男,63,56+,青海省,沈阳世博园,主题公园,5A,沈阳市,辽宁,50,2024-05-21,2024,5,2,2.8,314.8,50,264.8,4.8,否,,,,,春季,否,强烈推荐,非常满意
e0a2afadf5d4,女,35,26-35,陕西省,龙岩冠豸山,自然风光,4A,龙岩市,福建,115,2024-09-02,2024,9,3,2.9,115.0,115,0.0,4.6,否,,,,,秋季,否,强烈推荐,非常满意
8c15e22fb9cc,男,65,56+,浙江省,三星堆遗址,历史遗址,4A,德阳市,四川,80,2024-10-23,2024,10,4,1.9,527.0799999999999,80,447.08,4.0,是,6119.0,2.0,"荆州古城,茂陵,太阳岛",高铁+大巴,秋季,是,推荐,满意
fe851dbb9005,女,28,26-35,云南省,金丝峡,自然风光,5A,商洛市,陕西,100,2022-08-04,2022,8,3,7.0,178.22,100,78.22,4.5,是,918.0,5.0,"哈尔滨冰雪大世界,龙湾群国家森林公园,太行山大峡谷,崇圣寺三塔,清明上河园",飞机+大巴,夏季,否,强烈推荐,非常满意
e2d176044ac4,女,45,36-45,澳门特别行政区,瀛湖,自然风光,4A,安康市,陕西,70,2022-11-26,2022,11,4,5.6,70.0,70,0.0,4.6,否,,,,,秋季,是,强烈推荐,非常满意
a694eb959759,女,63,56+,河北省,北京植物园,植物园,4A,北京市,北京,10,2024-10-24,2024,10,4,1.9,101.17,10,91.17,3.7,是,1069.0,1.0,"罗浮山,鸭绿江断桥,查干湖",飞机+大巴,秋季,是,推荐,满意
8819bf725361,男,65,56+,广西壮族自治区,大连星海广场,城市景观,4A,大连市,辽宁,0,2023-09-04,2023,9,3,2.3,0.0,0,0.0,4.2,否,,,,,秋季,否,推荐,满意
9c713cfe5171,女,26,26-35,江西省,雾凇岛,自然奇观,4A,吉林市,吉林,60,2023-01-30,2023,1,1,1.2,60.0,60,0.0,4.0,是,2932.0,2.0,"南岳衡山,泸沽湖(云南部分),大庆铁人纪念馆,宁德鸳鸯溪,太行山大峡谷",飞机+大巴,冬季,是,推荐,满意
cc6e98c3d155,男,47,46-55,四川省,扎龙自然保护区,自然风光,4A,齐齐哈尔市,黑龙江,65,2023-05-08,2023,5,2,1.9,65.0,65,0.0,4.6,是,1499.0,1.0,"老君山,大庆铁人纪念馆,鼓浪屿",高铁+大巴,春季,否,强烈推荐,非常满意
9c3617010aa3,女,54,46-55,安徽省,来宾金秀圣堂山,自然风光,4A,来宾市,广西,65,2024-02-05,2024,2,1,3.5,65.0,65,0.0,4.4,是,742.0,5.0,"湄洲岛,壶口瀑布,东莞可园",空调大巴,冬季,是,推荐,满意
ccde15dad8b1,女,33,26-35,天津市,漳州东山岛,自然风光,4A,漳州市,福建,60,2022-06-25,2022,6,2,3.5,60.0,60,0.0,4.7,否,,,,,夏季,是,强烈推荐,非常满意
c7db71acacf8,女,50,46-55,湖南省,抚顺赫图阿拉城,历史文化,4A,抚顺市,辽宁,60,2024-05-09,2024,5,2,3.5,422.15,60,362.15,4.1,否,,,,,春季,否,推荐,满意
