平台,来源文件,主题,搜索词,标题,作者,作者主页,笔记发布时间原文,笔记发布时间,抓取日期,点赞数原文,点赞数,搜索结果链接,帖子详情页链接,封面链接地址,记录哈希,去重键,标题是否缺失,详情链接是否缺失
小红书,小红书-东三省旅游景区.json,东三省旅游景区,东北旅游景点,‌东北三省十大必去景点推荐｜一定要去看啊❗️,听不见的王馋狗,https://www.xiaohongshu.com/user/profile/5e4feb90000000000100abd9?channel_type=web_search_result_notes&parent_page_channel_type=web_profile_board&xsec_token=ABJGgcS9WtkP9WlDd355HPl-_zcmNBRkQAs72RS0EFISU=&xsec_source=pc_search,2025-11-30,2025-11-30,2026-03-25,380,380,https://www.xiaohongshu.com/search_result?keyword=%25E4%25B8%259C%25E5%258C%2597%25E6%2597%2585%25E6%25B8%25B8%25E6%2599%25AF%25E7%2582%25B9&source=web_explore_feed,https://www.xiaohongshu.com/search_result/692870ed0000000019027387?xsec_token=ABaV3UtfdE6jjrcdC7uUArZOhYn6hxApAsz8KtWpbzphA=&xsec_source=,https://sns-webpic-qc.xhscdn.com/202603251952/1f15f9bc2d50d8bc902c775e8bddc135/spectrum/1040g0k031pd56fe5i8005nifte809aupi5v18q0!nc_n_webp_mw_1,0cbe927c8c4b4c012208f1bbedb5a4de353dc6e819a644b39bf411e0c0c0f178,https://www.xiaohongshu.com/search_result/692870ed0000000019027387?xsec_token=ABaV3UtfdE6jjrcdC7uUArZOhYn6hxApAsz8KtWpbzphA=&xsec_source=,否,否
小红书,小红书-东三省旅游景区.json,东三省旅游景区,东北旅游景点,本山大叔没骗我，东北真的有“红浪漫”,寻音,https://www.xiaohongshu.com/user/profile/608760d30000000001008a53?channel_type=web_search_result_notes&parent_page_channel_type=web_profile_board&xsec_token=ABpO5KobHCjZyPBF0u7Gt7nA6IzuDRF7N7fcu3pW0_S54=&xsec_source=pc_search,2025-09-30,2025-09-30,2026-03-25,399,399,https://www.xiaohongshu.com/search_result?keyword=%25E4%25B8%259C%25E5%258C%2597%25E6%2597%2585%25E6%25B8%25B8%25E6%2599%25AF%25E7%2582%25B9&source=web_explore_feed,https://www.xiaohongshu.com/search_result/68db4b3200000000040115d3?xsec_token=ABHnzqJI49jS1IuEM51edAGUOs3385vUtsSMHY5UId98I=&xsec_source=,https://sns-webpic-qc.xhscdn.com/202603251952/ab2352161443c1ae9ed0bd25a8d703bc/notes_pre_post/1040g3k831n1r4okd6g005o47c39g92ijpvm2pso!nc_n_webp_mw_1,8da96d8856d48d3dfabe74e501d3de67ccecf6bce72a335c4052c5bfd0c7808a,https://www.xiaohongshu.com/search_result/68db4b3200000000040115d3?xsec_token=ABHnzqJI49jS1IuEM51edAGUOs3385vUtsSMHY5UId98I=&xsec_source=,否,否
小红书,小红书-东三省旅游景区.json,东三省旅游景区,东北旅游景点,一家3口👪6天共花6188✅畅玩东北+长白山,哈尔滨乐乎国际旅行社有限公司,https://www.xiaohongshu.com/user/profile/686ba117000000001b02341d?channel_type=web_search_result_notes&parent_page_channel_type=web_profile_board&xsec_token=ABTGjBbHcJP02LO_msG-om4Qup2vXoDjadeazDqH5gELo=&xsec_source=pc_search,2025-12-15,2025-12-15,2026-03-25,3893,3893,https://www.xiaohongshu.com/search_result?keyword=%25E4%25B8%259C%25E5%258C%2597%25E6%2597%2585%25E6%25B8%25B8%25E6%2599%25AF%25E7%2582%25B9&source=web_explore_feed,https://www.xiaohongshu.com/search_result/69033e650000000005030569?xsec_token=ABbkqkrep_DI5nDdYknqGUl1ompfcIrqE62JBmYFrd_WU=&xsec_source=,https://sns-webpic-qc.xhscdn.com/202603251952/2da9e542d58ef3093809237b53cf3251/spectrum/1040g0k031q427p3fmu005q3bk4bmsd0th46h6vg!nc_n_webp_mw_1,97d3a063571a2a131f3cd9012554e77fb439d0c4689642b848af02fdb79ff185,https://www.xiaohongshu.com/search_result/69033e650000000005030569?xsec_token=ABbkqkrep_DI5nDdYknqGUl1ompfcIrqE62JBmYFrd_WU=&xsec_source=,否,否
小红书,小红书-东三省旅游景区.json,东三省旅游景区,东北旅游景点,人生建议：拍完这9️⃣机位再离开冰雪大世界❄️,xiaomingli,https://www.xiaohongshu.com/user/profile/5afd231fe8ac2b6d673f01a7?channel_type=web_search_result_notes&parent_page_channel_type=web_profile_board&xsec_token=ABr0w9Gx56-C-ru8Kw60YccYwkimaQa7F2ZVRN6X5WShY=&xsec_source=pc_search,02-18,2026-02-18,2026-03-25,132,132,https://www.xiaohongshu.com/search_result?keyword=%25E4%25B8%259C%25E5%258C%2597%25E6%2597%2585%25E6%25B8%25B8%25E6%2599%25AF%25E7%2582%25B9&source=web_explore_feed,https://www.xiaohongshu.com/search_result/699564b4000000001a031ddd?xsec_token=ABRwqAUM5hzrhbwLsVfhw9rcBO3HL9h67aOkm2Ib-3yOA=&xsec_source=,https://sns-webpic-qc.xhscdn.com/202603251952/dbf20e2f95c9ece1d28f5173486e5d93/1040g2sg31sni907i62e04a5dcihhu0d7j0n54lg!nc_n_webp_mw_1,35650d98472e0b8f7062e6288f735f47e93d01445740c62564e2ce590d737abd,https://www.xiaohongshu.com/search_result/699564b4000000001a031ddd?xsec_token=ABRwqAUM5hzrhbwLsVfhw9rcBO3HL9h67aOkm2Ib-3yOA=&xsec_source=,否,否
小红书,小红书-东三省旅游景区.json,东三省旅游景区,东北旅游景点,这才是黑龙江最值得打卡的20个地方。,勇敢的背包客,https://www.xiaohongshu.com/user/profile/67bbd4540000000007000a25?channel_type=web_search_result_notes&parent_page_channel_type=web_profile_board&xsec_token=AB0_MTXsfaM_3mQ8Ij1Hyg76_Zg-A5aztk92bhe3EUor4=&xsec_source=pc_search,2025-10-13,2025-10-13,2026-03-25,68,68,https://www.xiaohongshu.com/search_result?keyword=%25E4%25B8%259C%25E5%258C%2597%25E6%2597%2585%25E6%25B8%25B8%25E6%2599%25AF%25E7%2582%25B9&source=web_explore_feed,https://www.xiaohongshu.com/search_result/68ed09020000000007016b33?xsec_token=ABvgutgyNPJx99fTr8brNsA7Ug6ZQrRagtSxUDBuiOXNw=&xsec_source=,https://sns-webpic-qc.xhscdn.com/202603251952/a4e32b0d5a522cd50412ff376453d08c/spectrum/1040g34o31nj595hal0105ptrqha1o2h5n10q1p0!nc_n_webp_mw_1,2f98c051873865df31215bd207ab75cd987170559e674480ee290551559513c2,https://www.xiaohongshu.com/search_result/68ed09020000000007016b33?xsec_token=ABvgutgyNPJx99fTr8brNsA7Ug6ZQrRagtSxUDBuiOXNw=&xsec_source=,否,否
小红书,小红书-东三省旅游景区.json,东三省旅游景区,东北旅游景点,东北小郭亮挂壁栈道｜辽阳人参谷一日游,小明姐爱徒步,https://www.xiaohongshu.com/user/profile/589296aa5e87e769ac7b0c2a?channel_type=web_search_result_notes&parent_page_channel_type=web_profile_board&xsec_token=ABXXPZ957QK6_4VgXAQLb5_g9x82R2hJcQ4PLTMD8YQFw=&xsec_source=pc_search,03-05,2026-03-05,2026-03-25,183,183,https://www.xiaohongshu.com/search_result?keyword=%25E4%25B8%259C%25E5%258C%2597%25E6%2597%2585%25E6%25B8%25B8%25E6%2599%25AF%25E7%2582%25B9&source=web_explore_feed,https://www.xiaohongshu.com/search_result/69a93055000000002801d019?xsec_token=ABiVc_7tees-hHAGAwZNWo7QiUrJyD0QSAzD5R9czqEHo=&xsec_source=,https://sns-webpic-qc.xhscdn.com/202603251952/a768e3cdc247ee42171524c43a4c7d48/spectrum/1040g0k031tat9jl95a00493begbak31adsn0aso!nc_n_webp_mw_1,f5189529f8f2aac9684defb86d5a2b8bf078a19570f37c7e8a799ec49980eda1,https://www.xiaohongshu.com/search_result/69a93055000000002801d019?xsec_token=ABiVc_7tees-hHAGAwZNWo7QiUrJyD0QSAzD5R9czqEHo=&xsec_source=,否,否
小红书,小红书-东三省旅游景区.json,东三省旅游景区,东北旅游景点,,,,,,2026-03-25,,0,https://www.xiaohongshu.com/search_result?keyword=%25E4%25B8%259C%25E5%258C%2597%25E6%2597%2585%25E6%25B8%25B8%25E6%2599%25AF%25E7%2582%25B9&source=web_explore_feed,,http://sns-na-i4.xhscdn.com/1040g00831aqhkg4d7a0040tarlmnh1evj6mngl8?imageView2/1/h/132/w/480/format/jpg&ap=5&sc=HOT_QRY&sign=ffd0c82ee919597dfe79aa4daa2cffd2&t=69c3cc60&origin=0,869a0d06c9a3e9556f9cc8c6f9413a040dc2457b74bb4c03232288f6d54d6576,12644c6a8d8e8b870b46e27c1c903da74af398910c40f5aaa6da80f3afd3863a,是,是
小红书,小红书-东三省旅游景区.json,东三省旅游景区,东北旅游景点,世界上只有黑龙江才有的12大绝美风景！,中国旅行,https://www.xiaohongshu.com/user/profile/65a9ddef000000000800782d?channel_type=web_search_result_notes&parent_page_channel_type=web_profile_board&xsec_token=ABLojxw4xKG_bPupkO41yrtdV5hADl9-VDDlX_FKdP2o8=&xsec_source=pc_search,2025-10-02,2025-10-02,2026-03-25,96,96,https://www.xiaohongshu.com/search_result?keyword=%25E4%25B8%259C%25E5%258C%2597%25E6%2597%2585%25E6%25B8%25B8%25E6%2599%25AF%25E7%2582%25B9&source=web_explore_feed,https://www.xiaohongshu.com/search_result/68de3019000000000301f79c?xsec_token=ABAg96FEhelIGOMy6ZV1IuVs4zUWfp5aJ2TRfXMHRfxHU=&xsec_source=,https://sns-webpic-qc.xhscdn.com/202603251952/670fa641301c24348e829b6e15a0ec01/spectrum/1040g34o31n4lh5m9ku0g5pd9rnni0u1danot6i0!nc_n_webp_mw_1,6d78a164caf8d13867372f1a276e644a4ab09032c428f302e9abc9b1a9aa4825,https://www.xiaohongshu.com/search_result/68de3019000000000301f79c?xsec_token=ABAg96FEhelIGOMy6ZV1IuVs4zUWfp5aJ2TRfXMHRfxHU=&xsec_source=,否,否
小红书,小红书-东三省旅游景区.json,东三省旅游景区,东北旅游景点,黑龙江12个城市旅游景点,大鸭背小丫,https://www.xiaohongshu.com/user/profile/6674dc8c000000001e00ce59?channel_type=web_search_result_notes&parent_page_channel_type=web_profile_board&xsec_token=ABmDSnHLY95bQD1MMJtHEOxX3wGumEwcvSp9NzUwndbfg=&xsec_source=pc_search,8小时前,2026-03-25,2026-03-25,2,2,https://www.xiaohongshu.com/search_result?keyword=%25E4%25B8%259C%25E5%258C%2597%25E6%2597%2585%25E6%25B8%25B8%25E6%2599%25AF%25E7%2582%25B9&source=web_explore_feed,https://www.xiaohongshu.com/search_result/69c353be000000001a035ac6?xsec_token=AB1reXc9sceWHR16vHAmKSpE8TgLM9K28U-IeYBKrmDd8=&xsec_source=,https://sns-webpic-qc.xhscdn.com/202603251952/76666c9efc014883dd35aea6334e1d0a/notes_pre_post/1040g3k831u4e40hl2ab05pjkri67hjipgcj8e8g!nc_n_webp_mw_1,e7e6beda9ccc9c57442ee6e01e61906f6e4e50302cf140045e8c727ce7c94587,https://www.xiaohongshu.com/search_result/69c353be000000001a035ac6?xsec_token=AB1reXc9sceWHR16vHAmKSpE8TgLM9K28U-IeYBKrmDd8=&xsec_source=,否,否
小红书,小红书-东三省旅游景区.json,东三省旅游景区,东北旅游景点,淡季的大连真是人间理想（附打卡机位📷,夕小维（南京citywalk),https://www.xiaohongshu.com/user/profile/5b576fb811be102f56c81d31?channel_type=web_search_result_notes&parent_page_channel_type=web_profile_board&xsec_token=ABHKs_BD6_DpRC38IAWvOe_voWgH5RDFQucE_LgEiMhiE=&xsec_source=pc_search,01-29,2026-01-29,2026-03-25,987,987,https://www.xiaohongshu.com/search_result?keyword=%25E4%25B8%259C%25E5%258C%2597%25E6%2597%2585%25E6%25B8%25B8%25E6%2599%25AF%25E7%2582%25B9&source=web_explore_feed,https://www.xiaohongshu.com/search_result/697b0edb000000001a0270c9?xsec_token=ABoQZbMbs20oPs75rmapgdk1qW02lYUvYNeZICASZmXPg=&xsec_source=,https://sns-webpic-qc.xhscdn.com/202603251952/3849ed2806ffbccd34fb3c912933a71f/1040g00831rtuobm02m1g4a7flbnrg79hnrus52o!nc_n_webp_mw_1,3f1cc33db6fe3dea3e8ad9ee59ff5c73c0622f295ee1dff7940b69db71a5e10f,https://www.xiaohongshu.com/search_result/697b0edb000000001a0270c9?xsec_token=ABoQZbMbs20oPs75rmapgdk1qW02lYUvYNeZICASZmXPg=&xsec_source=,否,否
