平台,来源文件,主题,搜索词,标题,作者,作者主页,笔记发布时间原文,笔记发布时间,抓取日期,点赞数原文,点赞数,搜索结果链接,帖子详情页链接,封面链接地址,记录哈希,去重键,标题是否缺失,详情链接是否缺失
小红书,小红书-东三省旅游景区.json,东三省旅游景区,东北旅游景点,看来哈尔滨文旅已经和所有动物谈拢了,驭行纪Travel,https://www.xiaohongshu.com/user/profile/660bb32b000000000b00deb4?channel_type=web_search_result_notes&parent_page_channel_type=web_profile_board&xsec_token=ABA5SSmlIzB7g-_fyzNRR4hwiEQYcUe0g4OQWkRNCKjnU=&xsec_source=pc_search,2024-12-23,2024-12-23,2026-03-25,42.9万,429000,https://www.xiaohongshu.com/search_result?keyword=%25E4%25B8%259C%25E5%258C%2597%25E6%2597%2585%25E6%25B8%25B8%25E6%2599%25AF%25E7%2582%25B9&source=web_explore_feed,https://www.xiaohongshu.com/search_result/6768e234000000000900da2a?xsec_token=ABALDNi-n7m_6mur6DVCN4L7NR8RZwmj9UtfWZkXvEeQw=&xsec_source=,https://sns-webpic-qc.xhscdn.com/202603251952/6b75ea436926928795f6ee331c78a36e/spectrum/1040g0k031bo3raeeh2005pgbmclipnlkbt2upg8!nc_n_webp_mw_1,06f4b578e34a4c3057d379cc917a972a8cb9b39def5ca0b97431730738178c53,https://www.xiaohongshu.com/search_result/6768e234000000000900da2a?xsec_token=ABALDNi-n7m_6mur6DVCN4L7NR8RZwmj9UtfWZkXvEeQw=&xsec_source=,否,否
小红书,小红书-云南旅游景区.json,云南旅游景区,云南旅游景点,在昆明七彩云南欢乐世界，用宣传片换门票,小陈开拍,https://www.xiaohongshu.com/user/profile/607548820000000001000585?channel_type=web_search_result_notes&parent_page_channel_type=web_profile_board&xsec_token=ABYuddCeahER7Ld4TQKK1GYJTqEA4aLFbFwCr10p9pgNM=&xsec_source=pc_search,02-22,2026-02-22,2026-03-25,41.2万,412000,https://www.xiaohongshu.com/search_result?keyword=%25E4%25BA%2591%25E5%258D%2597%25E6%2597%2585%25E6%25B8%25B8%25E6%2599%25AF%25E7%2582%25B9&source=web_explore_feed,https://www.xiaohongshu.com/search_result/6999c063000000001a02e9f1?xsec_token=ABBaz75lFOUF6QrfJo6WJiYsMRjwbS8hGFo-2-SZBwG-c=&xsec_source=,https://sns-webpic-qc.xhscdn.com/202603251947/79a42687c8357bd42216881922acb721/1040g00831srqr4h8lm005o3l921081c5r7qg2gg!nc_n_webp_mw_1,3ba40c1cd4c8e6dcf3062deaeea6415444f3a2586da775def1bbea52e9343ad7,https://www.xiaohongshu.com/search_result/6999c063000000001a02e9f1?xsec_token=ABBaz75lFOUF6QrfJo6WJiYsMRjwbS8hGFo-2-SZBwG-c=&xsec_source=,否,否
小红书,小红书-全国旅游景区1.json,全国旅游景区1,全国5A级景区,5A是景区的上限，不是九寨沟的上限,飞天小娱警,https://www.xiaohongshu.com/user/profile/63f71352000000000f011a47?channel_type=web_search_result_notes&parent_page_channel_type=web_profile_board&xsec_token=ABl4wL86QYiMqPAlUvIbdw-SgHVyVAzFvKKFOd6aOKEsU=&xsec_source=pc_search,2025-05-08,2025-05-08,2026-03-25,11.4万,114000,https://www.xiaohongshu.com/search_result?keyword=%25E5%2585%25A8%25E5%259B%25BD5A%25E7%25BA%25A7%25E6%2599%25AF%25E5%258C%25BA&source=web_explore_feed,https://www.xiaohongshu.com/search_result/681b8dc30000000023016351?xsec_token=ABikx15UfMmfS9BI2DdCfrVYx2138l7y_piTfOAvukqa8=&xsec_source=,https://sns-webpic-qc.xhscdn.com/202603251933/fdaf5f40b630ce9a2b18eb4567ab4c60/spectrum/1040g34o31h6j8elij83g5ovn2d93q6i74ocaui8!nc_n_webp_mw_1,c08c6057f7949e4b3a88a6bd7872f0f7a0675e4afd20cf8a4c5924df41767588,https://www.xiaohongshu.com/search_result/681b8dc30000000023016351?xsec_token=ABikx15UfMmfS9BI2DdCfrVYx2138l7y_piTfOAvukqa8=&xsec_source=,否,否
小红书,小红书-新疆旅游景区.json,新疆旅游景区,新疆旅游景点,,小宇睡不着,https://www.xiaohongshu.com/user/profile/62ddfc43000000001e01d5c0?channel_type=web_search_result_notes&parent_page_channel_type=web_profile_board&xsec_token=AB_P8ZMdzGNfbIKR54T62g2_VjfiEyNXx0HpZW3W6X3WU=&xsec_source=pc_search,2025-04-16,2025-04-16,2026-03-25,7.7万,77000,https://www.xiaohongshu.com/search_result?keyword=%25E6%2596%25B0%25E7%2596%2586%25E6%2597%2585%25E6%25B8%25B8%25E6%2599%25AF%25E7%2582%25B9&source=web_explore_feed,https://www.xiaohongshu.com/search_result/67e7fa48000000001d03ae83?xsec_token=AB6L3caqi9RMIq0uVXg5UgaGIOyKUCdQdGDeu8CKlRCjk=&xsec_source=,https://sns-webpic-qc.xhscdn.com/202603251946/9c3b6974d8d6c78fb322959d3e6515e3/1040g2sg31fk7h84l04005omtvh1njle03354tkg!nc_n_webp_mw_1,e8349655b281be496b715d66475fb6ce09d1701fb1efceef0d47dec2167c77eb,https://www.xiaohongshu.com/search_result/67e7fa48000000001d03ae83?xsec_token=AB6L3caqi9RMIq0uVXg5UgaGIOyKUCdQdGDeu8CKlRCjk=&xsec_source=,是,否
小红书,小红书-东三省旅游景区.json,东三省旅游景区,东北旅游景点,消费降级后照样能旅行-极限吃遍哈尔滨,一朵金花,https://www.xiaohongshu.com/user/profile/5cf0d92100000000160114cd?channel_type=web_search_result_notes&parent_page_channel_type=web_profile_board&xsec_token=AB8X0QIOv4gsQifSgP5NixFrQzPSjaMVhKVcZ3hNJJjgU=&xsec_source=pc_search,2025-12-12,2025-12-12,2026-03-25,6.1万,61000,https://www.xiaohongshu.com/search_result?keyword=%25E4%25B8%259C%25E5%258C%2597%25E6%2597%2585%25E6%25B8%25B8%25E6%2599%25AF%25E7%2582%25B9&source=web_explore_feed,https://www.xiaohongshu.com/search_result/67271504000000001b013baa?xsec_token=ABKxUQtLnnVXpQUVvk8_Rvh0bWak-kk7_qRXH32CAQPEc=&xsec_source=,https://sns-webpic-qc.xhscdn.com/202603251952/8e36622b9fa608bbd47e4c464eef682d/spectrum/1040g34o319nrhdcimu0g5n7gr4gli56dr73nan8!nc_n_webp_mw_1,3685d0e06a70647bdc7819a29f014b60a05e05c631cc0a5edede82edd15f6032,https://www.xiaohongshu.com/search_result/67271504000000001b013baa?xsec_token=ABKxUQtLnnVXpQUVvk8_Rvh0bWak-kk7_qRXH32CAQPEc=&xsec_source=,否,否
小红书,小红书-东三省旅游景区.json,东三省旅游景区,东北旅游景点,这才是去东北旅游该做的攻略。,阿丞带你去旅行,https://www.xiaohongshu.com/user/profile/643385d8000000001400d18f?channel_type=web_search_result_notes&parent_page_channel_type=web_profile_board&xsec_token=ABxp4otVSmf6dAbVWGFLsJjFXrN1ElUcNzn2z50Tyxjcc=&xsec_source=pc_search,01-17,2026-01-17,2026-03-25,5.5万,55000,https://www.xiaohongshu.com/search_result?keyword=%25E4%25B8%259C%25E5%258C%2597%25E6%2597%2585%25E6%25B8%25B8%25E6%2599%25AF%25E7%2582%25B9&source=web_explore_feed,https://www.xiaohongshu.com/search_result/696b58e3000000000a02b5d1?xsec_token=ABS601Fd5QEguqItnsqCkRvehjoxHjbrjRywDCMqfIBy8=&xsec_source=,https://sns-webpic-qc.xhscdn.com/202603251952/60ba89cdf88ea15eb9b974562e22ffc4/spectrum/1040g34o31regiec66ueg5p1jgnc51kcfpekn2d0!nc_n_webp_mw_1,911af0ae133865cd62d46f0325fcca92e15f29d9304b289d3e02df56baaee3aa,https://www.xiaohongshu.com/search_result/696b58e3000000000a02b5d1?xsec_token=ABS601Fd5QEguqItnsqCkRvehjoxHjbrjRywDCMqfIBy8=&xsec_source=,否,否
小红书,小红书-新疆5A旅游景区.json,新疆5A旅游景区,新疆5A级景区,无滤镜实况下的新疆,羲嘎,https://www.xiaohongshu.com/user/profile/5c0eb1840000000005015cad?channel_type=web_search_result_notes&parent_page_channel_type=web_profile_board&xsec_token=AB03Hj1SS3iwcDjN2MOrcDeKeZQZaf20CWj6_pJbtRkzI=&xsec_source=pc_search,03-16,2026-03-16,2026-03-25,5.3万,53000,https://www.xiaohongshu.com/search_result?keyword=%25E6%2596%25B0%25E7%2596%25865A%25E7%25BA%25A7%25E6%2599%25AF%25E5%258C%25BA&source=web_explore_feed,https://www.xiaohongshu.com/search_result/69b2e8f2000000000503109a?xsec_token=AB2CfFqaYiQohWioVuou-0LAWn2nT8oYVWYS3aOfm46Kw=&xsec_source=,https://sns-webpic-qc.xhscdn.com/202603251943/9e2c9e83499a4aaa6f2cd2aec0808e2d/notes_uhdr/1040g3qg31tkd5l14n8004buvhaoo8n5dpicddbo!nc_n_webp_mw_1,7a8b6eb68004ea568a2a951f8e422177f2fcbfbf524c38de17f3496a742ed6d8,https://www.xiaohongshu.com/search_result/69b2e8f2000000000503109a?xsec_token=AB2CfFqaYiQohWioVuou-0LAWn2nT8oYVWYS3aOfm46Kw=&xsec_source=,否,否
小红书,小红书-新疆5A旅游景区.json,新疆5A旅游景区,新疆5A级景区,“答应我，今年的春天留给新疆好吗……”,涛涛在路上,https://www.xiaohongshu.com/user/profile/5fee738400000000010087f0?channel_type=web_search_result_notes&parent_page_channel_type=web_profile_board&xsec_token=AB02w3vfAHcguSlh2Mq3fux3X4F5MmHVqYFVbLLUKhUc8=&xsec_source=pc_search,1天前,2026-03-24,2026-03-25,4.9万,49000,https://www.xiaohongshu.com/search_result?keyword=%25E6%2596%25B0%25E7%2596%25865A%25E7%25BA%25A7%25E6%2599%25AF%25E5%258C%25BA&source=web_explore_feed,https://www.xiaohongshu.com/search_result/69abf6f80000000015039831?xsec_token=ABKnZ0VX7FR56NBc46AvZI5kfd3u4WS6xcvvlfkIulbuQ=&xsec_source=,https://sns-webpic-qc.xhscdn.com/202603251943/2f063f772e91013acd3af94c6df46ef4/1040g00831tdk2agc62005nveee2091vgooajf6o!nc_n_webp_mw_1,99adefd250889fa59de5f9a5a760e88f8f1ac84554aae603569ff9320db3344e,https://www.xiaohongshu.com/search_result/69abf6f80000000015039831?xsec_token=ABKnZ0VX7FR56NBc46AvZI5kfd3u4WS6xcvvlfkIulbuQ=&xsec_source=,否,否
小红书,小红书-云南旅游景区.json,云南旅游景区,云南旅游景点,腾冲好适合吃吃喝喝的躺平式旅游,一条大肥鹅,https://www.xiaohongshu.com/user/profile/5943db4150c4b46ae56c4208?channel_type=web_search_result_notes&parent_page_channel_type=web_profile_board&xsec_token=AB_fV6ezxQLwwExX8En6gi0uzx8Ey5PgRlz3FYH7WRlmE=&xsec_source=pc_search,2025-08-04,2025-08-04,2026-03-25,4.9万,49000,https://www.xiaohongshu.com/search_result?keyword=%25E4%25BA%2591%25E5%258D%2597%25E6%2597%2585%25E6%25B8%25B8%25E6%2599%25AF%25E7%2582%25B9&source=web_explore_feed,https://www.xiaohongshu.com/search_result/688f2020000000002302c55f?xsec_token=ABGfcyWk2KDrhbzEq4p4wFRviPxl2AywKQvQp0dAXEEN4=&xsec_source=,https://sns-webpic-qc.xhscdn.com/202603251947/63d1ccf86aa6f873b39c09cd5f76fddf/1040g00831knesd1ij40049k9sgdk2gg8ohfcm8o!nc_n_webp_mw_1,6c215503a6831c282cd17dc52a6582600b0a1d43c0368bd95551a12850bf1870,https://www.xiaohongshu.com/search_result/688f2020000000002302c55f?xsec_token=ABGfcyWk2KDrhbzEq4p4wFRviPxl2AywKQvQp0dAXEEN4=&xsec_source=,否,否
小红书,小红书-东三省旅游景区.json,东三省旅游景区,东北旅游景点,#长白山,长白山跑山人,https://www.xiaohongshu.com/user/profile/5e18e51a0000000001007e07?channel_type=web_search_result_notes&parent_page_channel_type=web_profile_board&xsec_token=ABRPFkM8rYBAcApnlhqD3wcV-oaNdhOaSNz_9mreI1t-Q=&xsec_source=pc_search,2025-05-28,2025-05-28,2026-03-25,3.4万,34000,https://www.xiaohongshu.com/search_result?keyword=%25E4%25B8%259C%25E5%258C%2597%25E6%2597%2585%25E6%25B8%25B8%25E6%2599%25AF%25E7%2582%25B9&source=web_explore_feed,https://www.xiaohongshu.com/search_result/68367f51000000000303b20c?xsec_token=ABfgJJVfTPNkQAr84M0HS8q3AalO8YX4DxrlagHob3vi8=&xsec_source=,https://sns-webpic-qc.xhscdn.com/202603251952/f72fa1c99e311b1ae3c318e2bf62581e/spectrum/1040g0k031i0t4ikn6k005ngoskd08vg702i9up8!nc_n_webp_mw_1,9da21a27464f5fd80848c90a767f52dce71751c589e7b718fc9b247ad7190f7d,https://www.xiaohongshu.com/search_result/68367f51000000000303b20c?xsec_token=ABfgJJVfTPNkQAr84M0HS8q3AalO8YX4DxrlagHob3vi8=&xsec_source=,否,否
